Bleaching,Ocean,Year,Depth,Storms,HumanImpact,Siltation,Dynamite,Poison,Sewage,Industrial,Commercial
0,Atlantic,2005,4.0,1,3,2,0,0,3,0,0
0,Red Sea,2004,6.0,0,3,1,0,0,1,0,0
0,Pacific,1998,3.0,0,1,0,0,0,0,1,0
0,Pacific,1998,10.0,0,1,0,0,0,0,1,0
0,Atlantic,1997,10.0,0,3,0,0,0,3,2,0
0,Atlantic,1998,6.0,0,1,0,0,0,0,0,0
0,Pacific,2015,6.0,0,1,0,0,0,0,0,0
0,Pacific,2012,7.0,0,0,0,0,0,1,0,0
0,Pacific,2012,7.0,0,0,0,0,0,1,0,0
0,Pacific,2015,3.8,0,1,0,0,0,0,0,0
0,Pacific,2015,3.0,0,2,0,0,0,2,0,0
0,Pacific,2012,7.0,0,0,0,0,0,1,0,0
0,Pacific,2005,3.0,0,1,2,0,0,2,0,3
0,Pacific,2005,3.0,0,1,0,0,1,1,0,3
0,Pacific,2005,3.0,0,1,0,0,1,1,0,3
0,Indian,2003,3.9,0,2,0,0,0,2,0,1
0,Indian,2000,7.0,1,2,0,1,0,2,2,0
0,Pacific,2012,5.0,0,2,1,0,0,0,0,3
0,Pacific,2013,4.0,0,2,1,0,0,0,0,3
0,Pacific,2012,5.0,0,2,1,0,0,0,0,3
0,Pacific,2012,5.0,0,2,1,0,0,0,0,3
0,Pacific,2013,5.0,0,2,1,0,0,0,0,3
0,Pacific,2012,5.0,0,2,1,0,0,0,0,3
0,Pacific,2013,5.0,0,2,1,0,0,0,0,3
0,Pacific,2012,5.0,0,2,1,0,0,0,0,3
0,Pacific,2012,5.0,0,2,1,0,0,0,0,3
0,Pacific,2012,5.0,0,2,1,0,0,0,0,3
0,Pacific,2013,4.0,0,2,1,0,0,0,0,3
0,Pacific,2013,8.0,0,2,1,0,0,0,0,3
0,Pacific,2012,5.0,0,2,1,0,0,0,0,3
0,Pacific,2013,6.0,0,2,1,0,0,0,0,3
0,Pacific,2013,4.0,0,3,3,0,0,1,2,2
0,Pacific,2013,5.0,0,2,1,0,0,0,0,3
0,Pacific,2012,5.0,0,2,1,0,0,0,0,3
0,Pacific,2013,6.0,0,2,1,0,0,0,0,3
0,Indian,2003,3.9,0,0,0,0,0,1,1,1
0,Pacific,2006,12.0,0,1,0,0,0,1,0,2
0,Pacific,2006,10.0,0,2,0,0,0,1,0,2
0,Pacific,2009,10.7,1,0,0,0,0,1,0,2
0,Pacific,2006,6.5,0,2,0,0,0,1,0,2
0,Pacific,2007,5.0,0,3,0,0,0,2,0,0
0,Pacific,2006,4.0,0,2,1,0,0,2,0,2
0,Pacific,2006,3.6,0,2,0,0,0,2,0,2
0,Pacific,2006,7.0,0,1,0,0,0,3,1,3
0,Pacific,2007,4.0,0,3,0,0,0,2,0,0
0,Pacific,2007,3.5,0,0,0,0,0,2,0,0
0,Pacific,2006,3.5,0,2,1,0,0,2,0,1
0,Pacific,2006,4.0,0,2,0,0,0,2,0,2
0,Pacific,2006,4.3,0,2,1,0,0,2,0,2
0,Pacific,2006,3.0,0,2,0,0,0,1,0,2
0,Pacific,2006,3.0,0,2,0,0,0,1,0,2
0,Pacific,2006,7.0,0,2,1,0,0,1,0,2
0,Pacific,2006,5.5,0,2,1,0,0,1,0,2
0,Pacific,2003,6.0,1,1,1,0,0,1,0,2
0,Pacific,2003,7.6,1,1,1,0,0,1,0,2
0,Pacific,2009,4.2,1,1,1,0,0,0,0,0
0,Pacific,2007,11.5,1,1,2,0,0,0,0,0
0,Pacific,2007,6.0,1,1,1,0,0,1,0,1
0,Pacific,2008,6.0,1,1,1,0,0,1,0,1
0,Pacific,2008,11.5,1,1,2,0,0,0,0,0
0,Pacific,2008,5.0,1,1,1,0,0,1,0,1
0,Pacific,2009,9.0,1,1,1,0,0,1,0,1
0,Pacific,2003,6.0,1,1,1,0,0,1,0,1
0,Pacific,2003,10.3,1,1,1,0,0,1,0,1
0,Pacific,2007,6.0,1,1,1,0,0,1,0,0
0,Pacific,2007,6.0,1,1,1,0,0,1,0,0
0,Pacific,2008,6.0,1,2,1,0,0,1,0,0
0,Pacific,2009,7.5,1,2,1,0,0,1,0,0
0,Pacific,2007,6.0,1,2,1,0,0,2,0,0
0,Pacific,2007,6.0,1,1,1,0,0,0,0,0
0,Pacific,2008,5.1,1,2,1,0,0,2,0,0
0,Pacific,2009,5.5,1,2,1,0,0,2,0,0
