"Bleaching","Ocean","Year","Depth","Storms","HumanImpact","Siltation","Dynamite","Poison","Sewage","Industrial","Commercial"
"No","Atlantic",2005,4,"yes","high","often","none","none","high","none","none"
"No","Red Sea",2004,6,"no","high","occasionally","none","none","low","none","none"
"No","Pacific",1998,3,"no","low","never","none","none","none","low","none"
"No","Pacific",1998,10,"no","low","never","none","none","none","low","none"
"No","Atlantic",1997,10,"no","high","never","none","none","high","moderate","none"
"No","Atlantic",1998,6,"no","low","never","none","none","none","none","none"
"No","Pacific",2015,6,"no","low","never","none","none","none","none","none"
"No","Pacific",2012,7,"no","none","never","none","none","low","none","none"
"No","Pacific",2012,7,"no","none","never","none","none","low","none","none"
"No","Pacific",2015,3.8,"no","low","never","none","none","none","none","none"
"No","Pacific",2015,3,"no","moderate","never","none","none","moderate","none","none"
"No","Pacific",2012,7,"no","none","never","none","none","low","none","none"
"No","Pacific",2005,3,"no","low","often","none","none","moderate","none","high"
"No","Pacific",2005,3,"no","low","never","none","low","low","none","high"
"No","Pacific",2005,3,"no","low","never","none","low","low","none","high"
"No","Indian",2003,3.9,"no","moderate","never","none","none","moderate","none","low"
"No","Indian",2000,7,"yes","moderate","never","low","none","moderate","moderate","none"
"No","Pacific",2012,5,"no","moderate","occasionally","none","none","none","none","high"
"No","Pacific",2013,4,"no","moderate","occasionally","none","none","none","none","high"
"No","Pacific",2012,5,"no","moderate","occasionally","none","none","none","none","high"
"No","Pacific",2012,5,"no","moderate","occasionally","none","none","none","none","high"
"No","Pacific",2013,5,"no","moderate","occasionally","none","none","none","none","high"
"No","Pacific",2012,5,"no","moderate","occasionally","none","none","none","none","high"
"No","Pacific",2013,5,"no","moderate","occasionally","none","none","none","none","high"
"No","Pacific",2012,5,"no","moderate","occasionally","none","none","none","none","high"
"No","Pacific",2012,5,"no","moderate","occasionally","none","none","none","none","high"
"No","Pacific",2012,5,"no","moderate","occasionally","none","none","none","none","high"
"No","Pacific",2013,4,"no","moderate","occasionally","none","none","none","none","high"
"No","Pacific",2013,8,"no","moderate","occasionally","none","none","none","none","high"
"No","Pacific",2012,5,"no","moderate","occasionally","none","none","none","none","high"
"No","Pacific",2013,6,"no","moderate","occasionally","none","none","none","none","high"
"No","Pacific",2013,4,"no","high","always","none","none","low","moderate","moderate"
"No","Pacific",2013,5,"no","moderate","occasionally","none","none","none","none","high"
"No","Pacific",2012,5,"no","moderate","occasionally","none","none","none","none","high"
"No","Pacific",2013,6,"no","moderate","occasionally","none","none","none","none","high"
"No","Indian",2003,3.9,"no","none","never","none","none","low","low","low"
"No","Pacific",2006,12,"no","low","never","none","none","low","none","moderate"
"No","Pacific",2006,10,"no","moderate","never","none","none","low","none","moderate"
"No","Pacific",2009,10.7,"yes","none","never","none","none","low","none","moderate"
"No","Pacific",2006,6.5,"no","moderate","never","none","none","low","none","moderate"
"No","Pacific",2007,5,"no","high","never","none","none","moderate","none","none"
"No","Pacific",2006,4,"no","moderate","occasionally","none","none","moderate","none","moderate"
"No","Pacific",2006,3.6,"no","moderate","never","none","none","moderate","none","moderate"
"No","Pacific",2006,7,"no","low","never","none","none","high","low","high"
"No","Pacific",2007,4,"no","high","never","none","none","moderate","none","none"
"No","Pacific",2007,3.5,"no","none","never","none","none","moderate","none","none"
"No","Pacific",2006,3.5,"no","moderate","occasionally","none","none","moderate","none","low"
"No","Pacific",2006,4,"no","moderate","never","none","none","moderate","none","moderate"
"No","Pacific",2006,4.3,"no","moderate","occasionally","none","none","moderate","none","moderate"
"No","Pacific",2006,3,"no","moderate","never","none","none","low","none","moderate"
"No","Pacific",2006,3,"no","moderate","never","none","none","low","none","moderate"
"No","Pacific",2006,7,"no","moderate","occasionally","none","none","low","none","moderate"
"No","Pacific",2006,5.5,"no","moderate","occasionally","none","none","low","none","moderate"
"No","Pacific",2003,6,"yes","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2003,7.6,"yes","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2009,4.2,"yes","low","occasionally","none","none","none","none","none"
"No","Pacific",2007,11.5,"yes","low","often","none","none","none","none","none"
"No","Pacific",2007,6,"yes","low","occasionally","none","none","low","none","low"
"No","Pacific",2008,6,"yes","low","occasionally","none","none","low","none","low"
"No","Pacific",2008,11.5,"yes","low","often","none","none","none","none","none"
"No","Pacific",2008,5,"yes","low","occasionally","none","none","low","none","low"
"No","Pacific",2009,9,"yes","low","occasionally","none","none","low","none","low"
"No","Pacific",2003,6,"yes","low","occasionally","none","none","low","none","low"
"No","Pacific",2003,10.3,"yes","low","occasionally","none","none","low","none","low"
"No","Pacific",2007,6,"yes","low","occasionally","none","none","low","none","none"
"No","Pacific",2007,6,"yes","low","occasionally","none","none","low","none","none"
"No","Pacific",2008,6,"yes","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2009,7.5,"yes","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2007,6,"yes","moderate","occasionally","none","none","moderate","none","none"
"No","Pacific",2007,6,"yes","low","occasionally","none","none","none","none","none"
"No","Pacific",2008,5.1,"yes","moderate","occasionally","none","none","moderate","none","none"
"No","Pacific",2009,5.5,"yes","moderate","occasionally","none","none","moderate","none","none"
"No","Pacific",2007,5,"yes","high","occasionally","none","none","low","none","none"
"No","Pacific",2009,8,"yes","low","occasionally","none","none","none","none","low"
"No","Pacific",2009,7,"yes","low","occasionally","none","none","none","none","none"
"No","Pacific",2003,3,"yes","moderate","occasionally","none","none","low","none","low"
"No","Pacific",2003,11,"yes","moderate","occasionally","none","none","low","none","low"
"No","Pacific",2008,5.7,"yes","low","occasionally","none","none","none","none","low"
"No","Pacific",2009,6,"yes","low","occasionally","none","none","none","none","low"
"No","Pacific",2016,9,"yes","low","occasionally","none","none","low","none","low"
"No","Pacific",2004,10.6,"no","none","never","none","none","none","none","none"
"No","Pacific",2004,6,"yes","none","never","none","none","none","none","none"
"No","Pacific",2004,6,"no","none","never","none","none","none","none","none"
"No","Pacific",2012,3,"no","low","never","none","none","low","none","none"
"No","Pacific",2007,5.5,"no","high","occasionally","none","none","moderate","none","none"
"No","Pacific",2007,5,"no","high","occasionally","none","none","moderate","none","none"
"No","Pacific",2008,5,"yes","high","occasionally","none","none","moderate","none","none"
"No","Pacific",2012,5,"no","low","never","none","none","low","none","none"
"No","Pacific",2008,10,"no","moderate","never","none","none","low","none","none"
"No","Pacific",2009,10.3,"no","moderate","never","none","none","low","none","none"
"No","Pacific",2012,10,"no","low","never","none","none","low","none","none"
"No","Pacific",2003,5,"no","low","occasionally","none","none","low","none","none"
"No","Pacific",2003,10,"no","low","occasionally","none","none","low","none","none"
"No","Pacific",2008,7,"no","moderate","occasionally","none","none","moderate","none","none"
"No","Pacific",2009,4.5,"no","moderate","occasionally","none","none","moderate","none","none"
"No","Pacific",2004,3,"yes","high","occasionally","none","none","moderate","low","low"
"No","Pacific",2004,3.2,"yes","high","occasionally","none","none","moderate","low","low"
"No","Pacific",2004,3,"yes","high","occasionally","none","none","moderate","low","low"
"No","Pacific",2003,6,"no","low","occasionally","none","none","low","none","none"
"No","Pacific",2003,12,"no","moderate","occasionally","none","none","low","none","none"
"No","Pacific",2003,12,"yes","low","occasionally","none","none","moderate","low","low"
"No","Pacific",2003,10,"no","moderate","occasionally","none","none","moderate","low","none"
"No","Pacific",2003,12,"no","moderate","occasionally","none","none","moderate","low","none"
"No","Pacific",2003,6,"no","low","never","none","none","none","none","none"
"No","Pacific",2003,12,"no","low","never","none","none","none","none","none"
"No","Pacific",2012,6,"no","low","never","none","none","low","none","none"
"No","Pacific",2009,6.4,"yes","moderate","occasionally","none","none","moderate","none","none"
"No","Pacific",2004,9.4,"no","moderate","never","none","none","none","none","none"
"No","Pacific",2004,8.7,"no","low","never","none","none","none","none","none"
"No","Pacific",2012,6,"no","low","never","none","none","low","none","none"
"No","Pacific",2012,7,"no","low","never","none","none","low","none","none"
"No","Pacific",2009,4,"no","moderate","often","moderate","low","low","none","moderate"
"No","Pacific",2009,4,"no","moderate","often","moderate","low","low","none","moderate"
"No","Pacific",2010,7,"no","low","often","none","none","low","low","low"
"No","Pacific",2010,8.5,"yes","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2010,5.5,"yes","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2009,4,"no","high","occasionally","none","none","low","none","none"
"No","Pacific",2009,3,"no","moderate","often","moderate","low","low","none","moderate"
"No","Pacific",2012,6,"no","low","often","none","none","moderate","low","high"
"No","Pacific",2012,11,"no","low","often","none","none","moderate","low","high"
"No","Pacific",2012,10,"no","low","often","none","none","moderate","low","high"
"No","Pacific",2012,10,"no","low","often","none","none","moderate","low","high"
"No","Pacific",2009,9,"no","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2009,6,"no","low","occasionally","none","none","none","none","low"
"No","Pacific",2010,5,"yes","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2009,8,"no","low","often","none","none","none","none","low"
"No","Pacific",2010,8,"yes","low","occasionally","none","none","low","none","moderate"
"No","Pacific",2010,9,"no","low","often","none","none","low","low","low"
"No","Pacific",2010,9,"no","low","occasionally","none","none","low","none","low"
"No","Pacific",2009,8,"no","low","occasionally","none","none","low","none","low"
"No","Pacific",2009,10,"no","low","occasionally","none","none","low","moderate","moderate"
"No","Pacific",2009,9,"no","low","occasionally","none","none","low","none","low"
"No","Pacific",2009,5,"yes","low","never","none","none","low","low","moderate"
"No","Pacific",2009,4,"no","low","often","none","none","low","none","low"
"No","Pacific",2009,5,"no","moderate","occasionally","none","none","none","none","low"
"No","Pacific",2009,3,"yes","high","often","moderate","none","high","none","moderate"
"No","Pacific",2009,3,"yes","high","often","moderate","none","high","none","moderate"
"No","Pacific",2009,3,"yes","high","often","moderate","none","high","none","moderate"
"No","Pacific",2009,5,"yes","high","often","moderate","none","high","none","moderate"
"No","Pacific",2009,10,"no","low","occasionally","none","none","low","none","low"
"No","Pacific",2010,3,"no","low","occasionally","none","none","low","low","low"
"No","Pacific",2010,7,"no","low","often","none","none","low","low","low"
"No","Pacific",2009,4,"no","low","occasionally","none","none","low","none","none"
"No","Pacific",2009,3,"no","low","occasionally","none","none","none","none","low"
"No","Pacific",2009,6,"no","moderate","occasionally","none","none","low","none","low"
"No","Pacific",2009,3,"no","moderate","occasionally","none","none","low","low","low"
"No","Pacific",2009,4,"no","low","often","low","none","none","none","none"
"No","Pacific",2010,9,"no","low","occasionally","none","none","low","none","none"
"No","Pacific",2009,4,"no","low","often","none","none","none","none","low"
"No","Pacific",2009,3,"no","moderate","often","none","none","low","none","low"
"No","Pacific",2009,4,"no","low","occasionally","none","none","none","none","low"
"No","Pacific",2009,4,"no","high","often","low","none","moderate","none","high"
"No","Pacific",2009,4,"no","low","occasionally","none","none","none","none","low"
"No","Pacific",2009,4,"no","low","occasionally","none","none","low","low","low"
"No","Pacific",2009,3,"no","low","occasionally","none","none","none","none","low"
"No","Pacific",2009,5,"no","low","occasionally","none","none","none","none","low"
"No","Pacific",2009,5,"no","low","often","none","none","none","none","moderate"
"No","Pacific",2009,9,"no","low","occasionally","none","none","low","low","moderate"
"No","Pacific",2007,10,"no","moderate","occasionally","none","none","moderate","none","none"
"No","Pacific",2007,11,"no","moderate","occasionally","none","none","moderate","none","none"
